銘柄コード,市場区分,銘柄名,理論株価,株価,乖離率,評価
1301,プ,極洋,6986,4505,35%割安,+
1332,プ,ニッスイ,1239,1223.5,1%割安,+
1333,プ,Umios,2046,1325.5,35%割安,+
135A,グ,VRAIN Solution,2258,3245,44%割高,-
1375,プ,ユキグニファクトリー,522,1050,101%割高,-
1376,ス,カネコ種苗,2365,1409,40%割安,+
1377,ス,サカタのタネ,4265,4125,3%割安,+
1379,プ,ホクト,1956,1828,7%割安,+
137A,グ,Cocolive,812,708,13%割安,+
1380,ス,秋川牧園,,1000,,-
1381,ス,アクシーズ,5318,3820,28%割安,+
1382,ス,ホープ,976,1624,66%割高,-
1383,ス,ベルグアース,,2901,,-
130A,グ,Veritas In Sili,,453,,-
1384,ス,ホクリヨウ,5598,2675,52%割安,+
138A,グ,光フードサービス,2577,3340,30%割高,-
1401,グ,エムビーエス,1388,1388,0%,-
1407,ス,ウエストHD,1808,2877,59%割高,-
1414,プ,ショーボンドHD,1211,1325,9%割高,-
1416,ス,インターライフHD,721,557,23%割安,+
1417,ス,ミライ・ワン,3683,4024,14%割高,-
1419,プ,タマホーム,1278,3555,178%割高,-
1420,ス,サンミーホームズ,1330,621,53%割安,+
1429,プ,日本アクア,908,688,24%割安,+
142A,グ,ジンジブ,170,692,331%割高,-
1430,ス,ファーストコーポレーション,1091,1111,2%割高,-
1431,グ,Lib Work,217,649,199%割高,-
1433,プ,ベステラ,724,1029,42%割高,-
1434,ス,JESCOHD,2259,2466,4%割高,-
1435,ス,robot home,408,202,51%割安,+
1436,グ,グリーンエナジー&カンパニー,448,1199,171%割高,-
143A,グ,イシン,795,721,6%割安,+
143B,ス,岐阜造園,2304,1870,18%割安,+
1443,ス,技研HD,674,286,58%割安,+
1444,グ,ニッソウ,1347,2761,105%割高,-
1446,ス,キャンディル,408,520,29%割高,-
1447,グ,SAAFHD,83,302,266%割高,-
1450,ス,TANAKEN,1865,1410,24%割安,+
145A,グ,Lis B,409,832,119%割高,-
146A,ス,コロンビア・ワークス,8838,3740,58%割安,+
147A,グ,ソラコム,248,957,301%割高,-
148A,グ,ハッチ・ワーク,777,1800,145%割高,-
1491,ス,中外鉱業,869,858,1%割安,+
149A,グ,シンカ,,800,,-
150A,グ,JSH,210,366,95%割高,-
1514,ス,住石HD,353,769,118%割高,-
1515,プ,日鉄鉱業,2516,2412,4%割安,+
1518,プ,三井松島HD,2012,1355,33%割安,+
151A,グ,ダイブ,1046,636,17%割安,+
153A,グ,カウリス,1121,1663,51%割高,-
154A,グ,情報戦略テクノロジー,627,801,35%割高,-
156A,ス,マテリアルG,1086,848,22%割安,+
